Initiator,Receiver
2,1
16,2
8,2
12,5
16,7
16,8
18,9
15,10
9,11
16,13
8,1
6,2
7,3
9,6
6,8
3,9
9,14
17,2
3,2
14,3
8,3
3,6
17,7
2,9
9,11
11,12
9,13
2,16
5,1
9,1
2,1
4,3
15,3
4,7
5,10
5,10
13,15
5,16
13,16
2,16
9,6
3,7
6,9
1,10
1,10
1,15
10,15
13,16
10,16
15,16
18,16
6,17
1,18
9,16
3,4
1,9
4,9
7,9
10,16
17,6
15,6
14,6
15,1
17,8
3,2
14,2
2,3
2,3
2,3
18,5
5,6
8,10
18,14
9,16
8,16
6,2
5,2
5,2
18,7
14,2
17,4
18,5
4,8
5,12
11,14
15,18
4,2
4,2
16,3
6,4
11,6
14,6
4,8
2,11
16,12
3,15
6,16
4,2
1,2
1,4
12,6
5,9
5,2
3,4
18,8
1,9
14,11
1,18
18,3
18,3
15,11
10,8
8,10
6,11
17,4
15,2
13,2
17,2
2,11
11,14
11,14
3,16
9,16
8,16
6,18
9,2
7,4
5,4
4,9
3,12
14,13
6,14
11,15
3,16
8,18
11,5
9,5
5,8
17,3
8,6
8,18
5,6
6,11
12,2
18,3
5,11
12,15
7,16
6,18
4,1
8,3
6,8
1,9
13,11
8,15
16,15
7,16
1,10
18,11
17,11
17,11
7,13
4,17
10,17
16,18
17,2
1,10
2,12
7,16
16,17
8,11
12,18
10,18
6,7
5,8
5,11
14,15
12,17
14,18
15,11
17,12
8,12
7,15
2,16
4,17
17,18
4,15
4,17
6,12
6,1
3,6
12,6
8,12
15,12
6,13
13,16
9,17
9,18
17,18
1,3
2,7
18,12
1,16
4,18
3,10
4,9
2,15
5,17
6,1
2,4
2,8
2,11
7,2
5,9
5,10
8,17
3,1
14,12
7,14
6,1
2,5
2,9
3,10
1,10
9,11
9,12
17,15
3,16
6,9
12,17
12,2
3,4
2,8
2,9
3,15
18,16
2,18
8,18
3,4
6,7
6,1
6,2
15,3
3,4
14,5
7,10
17,10
3,15
4,15
15,1
18,16
16,2
10,4
4,8
10,2
2,6
17,15
18,12
18,13
1,13
8,1
10,2
13,2
1,3
4,1
16,5
13,10
8,16
2,16
3,12
1,12
