Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,7,1.0,7.0,1.0
7,1,18,0.0,11.0,-1.0
9,1,18,0.0,0.0,0.0
17,1,8,0.0,-10.0,0.0
2,2,4,2.0,4.0,2.0
7,2,17,2.0,13.0,0.0
9,2,5,0.0,-12.0,-2.0
17,2,19,0.0,14.0,0.0
2,3,13,2.0,13.0,2.0
7,3,13,1.0,0.0,-1.0
9,3,14,0.0,1.0,-1.0
17,3,11,0.0,-3.0,0.0
2,4,21,2.0,21.0,2.0
7,4,27,2.0,6.0,0.0
9,4,31,0.0,4.0,-2.0
17,4,20,0.0,-11.0,0.0
2,5,11,0.0,11.0,0.0
7,5,17,0.0,6.0,0.0
9,5,7,0.0,-10.0,0.0
17,5,7,1.0,0.0,1.0
2,6,19,0.0,19.0,0.0
7,6,17,1.0,-2.0,1.0
9,6,20,0.0,3.0,-1.0
17,6,19,0.0,-1.0,0.0
2,7,60,1.0,60.0,1.0
7,7,42,1.0,-18.0,0.0
9,7,52,0.0,10.0,-1.0
17,7,36,0.0,-16.0,0.0
2,8,12,0.0,12.0,0.0
7,8,17,0.0,5.0,0.0
9,8,11,0.0,-6.0,0.0
17,8,2,0.0,-9.0,0.0
2,9,8,1.0,8.0,1.0
7,9,13,2.0,5.0,1.0
9,9,16,0.0,3.0,-2.0
17,9,8,0.0,-8.0,0.0
2,10,25,1.0,25.0,1.0
7,10,23,2.0,-2.0,1.0
9,10,36,0.0,13.0,-2.0
17,10,48,1.0,12.0,1.0
2,11,17,0.0,17.0,0.0
7,11,26,2.0,9.0,2.0
9,11,21,0.0,-5.0,-2.0
17,11,11,0.0,-10.0,0.0
2,12,27,1.0,27.0,1.0
7,12,41,0.0,14.0,-1.0
9,12,19,0.0,-22.0,0.0
17,12,17,0.0,-2.0,0.0
2,13,17,2.0,17.0,2.0
7,13,31,2.0,14.0,0.0
9,13,26,0.0,-5.0,-2.0
17,13,11,0.0,-15.0,0.0
2,14,18,1.0,18.0,1.0
7,14,16,1.0,-2.0,0.0
9,14,7,0.0,-9.0,-1.0
17,14,8,0.0,1.0,0.0
2,15,13,0.0,13.0,0.0
7,15,12,0.0,-1.0,0.0
9,15,6,0.0,-6.0,0.0
17,15,6,0.0,0.0,0.0
2,16,14,0.0,14.0,0.0
7,16,26,0.0,12.0,0.0
9,16,22,0.0,-4.0,0.0
17,16,14,0.0,-8.0,0.0
