Day,AnimalID,Score,CirclingScore,ScoreDiff,CirclingDiff
2,1,15,2.0,15.0,2.0
7,1,20,2.0,5.0,0.0
9,1,19,0.0,-1.0,-2.0
17,1,14,0.0,-5.0,0.0
2,2,46,1.0,46.0,1.0
7,2,19,1.0,-27.0,0.0
9,2,36,1.0,17.0,0.0
17,2,45,2.0,9.0,1.0
2,3,28,0.0,28.0,0.0
7,3,40,1.0,12.0,1.0
9,3,60,0.0,20.0,-1.0
17,3,41,4.0,-19.0,4.0
2,4,60,2.0,60.0,2.0
7,4,50,1.0,-10.0,-1.0
9,4,53,1.0,3.0,0.0
17,4,40,2.0,-13.0,1.0
2,5,3,1.0,3.0,1.0
7,5,13,0.0,10.0,-1.0
9,5,9,0.0,-4.0,0.0
17,5,4,0.0,-5.0,0.0
2,6,8,0.0,8.0,0.0
7,6,9,3.0,1.0,3.0
9,6,15,0.0,6.0,-3.0
17,6,5,2.0,-10.0,2.0
2,7,39,1.0,39.0,1.0
7,7,35,2.0,-4.0,1.0
9,7,21,0.0,-14.0,-2.0
17,7,43,0.0,22.0,0.0
2,8,31,0.0,31.0,0.0
7,8,40,1.0,9.0,1.0
9,8,31,0.0,-9.0,-1.0
17,8,38,2.0,7.0,2.0
2,9,14,0.0,14.0,0.0
7,9,9,2.0,-5.0,2.0
9,9,11,0.0,2.0,-2.0
17,9,9,4.0,-2.0,4.0
2,10,63,0.0,63.0,0.0
7,10,73,1.0,10.0,1.0
9,10,61,0.0,-12.0,-1.0
17,10,51,1.0,-10.0,1.0
2,11,29,1.0,29.0,1.0
7,11,15,1.0,-14.0,0.0
9,11,28,0.0,13.0,-1.0
17,11,52,5.0,24.0,5.0
2,12,52,2.0,52.0,2.0
7,12,77,1.0,25.0,-1.0
9,12,68,0.0,-9.0,-1.0
17,12,50,2.0,-18.0,2.0
2,13,35,1.0,35.0,1.0
7,13,54,3.0,19.0,2.0
9,13,35,0.0,-19.0,-3.0
17,13,109,1.0,74.0,1.0
2,14,106,0.0,106.0,0.0
7,14,78,2.0,-28.0,2.0
9,14,106,2.0,28.0,0.0
17,14,71,2.0,-35.0,0.0
2,15,5,1.0,5.0,1.0
7,15,9,1.0,4.0,0.0
9,15,15,0.0,6.0,-1.0
17,15,18,1.0,3.0,1.0
2,16,26,0.0,26.0,0.0
7,16,31,0.0,5.0,0.0
9,16,19,1.0,-12.0,1.0
17,16,19,0.0,0.0,-1.0
2,17,34,2.0,34.0,2.0
7,17,48,2.0,14.0,0.0
9,17,50,1.0,2.0,-1.0
17,17,54,1.0,4.0,0.0
2,18,11,0.0,11.0,0.0
7,18,28,0.0,17.0,0.0
9,18,39,2.0,11.0,2.0
17,18,31,1.0,-8.0,-1.0
