Initiator,Receiver
11,19
17,21
13,11
10,11
2,10
21,19
19,21
2,18
18,5
16,19
1,5
8,20
4,12
20,19
17,3
5,10
3,7
14,3
14,7
20,13
9,19
20,9
20,19
18,9
13,9
17,19
19,5
13,20
20,18
18,13
18,13
13,19
3,12
11,12
5,12
6,18
17,18
1,21
5,6
5,6
6,5
5,12
3,12
5,11
4,1
16,1
10,8
16,10
10,7
16,10
10,16
12,21
10,2
16,14
2,10
19,8
19,18
4,21
17,1
13,7
9,13
19,8
19,16
16,18
18,19
18,14
6,9
7,1
1,7
20,17
18,7
12,6
20,13
1,20
20,14
20,13
20,9
1,9
20,13
13,20
1,13
9,1
20,11
20,21
14,1
20,17
1,9
12,13
17,21
8,18
3,2
2,3
1,18
20,17
2,21
14,17
1,2
20,17
17,20
13,2
9,21
2,9
21,2
2,21
13,2
20,9
7,17
8,9
3,18
10,13
3,9
21,18
8,13
18,4
20,21
2,12
3,8
2,14
7,3
3,21
21,14
12,7
4,9
13,21
1,8
16,13
18,13
2,9
18,1
18,13
9,18
13,8
8,13
19,8
9,8
13,21
21,8
8,18
8,9
5,9
7,2
7,2
13,2
9,2
2,6
9,16
14,6
21,6
9,19
18,6
6,19
7,2
4,12
17,19
17,19
19,21
21,11
1,16
17,21
16,13
11,17
18,1
1,18
18,16
8,18
16,21
2,16
2,14
16,1
19,17
16,18
18,19
16,11
1,21
10,18
7,21
17,10
14,17
8,1
19,1
1,8
16,8
17,16
18,1
4,8
4,21
3,19
1,16
1,13
19,14
1,21
4,19
11,13
19,20
20,18
11,3
6,18
3,11
6,1
11,3
2,18
3,14
2,3
3,2
16,18
1,11
4,2
6,11
11,6
6,21
16,18
18,17
14,18
11,10
21,10
11,10
10,11
1,17
8,20
20,10
10,1
1,19
3,12
20,2
10,3
10,7
14,3
5,17
18,7
3,17
2,13
7,2
3,13
12,2
12,7
7,18
13,7
18,12
2,12
12,11
1,2
10,2
3,9
13,1
2,12
12,2
4,1
13,12
4,20
6,16
20,12
20,13
16,5
14,17
21,1
4,2
12,1
1,4
4,7
7,13
1,12
2,1
5,10
8,2
10,16
2,4
11,13
12,13
3,9
3,17
1,3
10,11
11,13
11,12
14,1
2,12
11,10
10,13
11,2
12,10
1,12
11,1
13,7
13,10
17,7
12,17
12,7
8,19
7,4
1,13
8,4
4,7
7,8
19,4
8,7
10,7
4,19
1,19
16,14
1,11
11,13
2,14
13,19
2,7
8,14
1,11
19,2
13,1
13,7
13,14
7,1
19,13
19,18
11,20
11,13
11,1
1,19
5,13
13,4
1,5
8,16
11,18
4,13
7,1
4,1
