Initiator,Receiver
8,12
11,18
6,15
6,11
8,18
15,12
13,12
17,1
16,13
13,6
11,6
15,18
11,9
3,1
3,17
17,9
16,11
15,18
6,16
16,13
1,2
18,3
18,17
18,2
2,18
6,3
2,3
8,11
2,10
17,8
16,12
18,12
17,3
1,17
12,3
18,3
3,15
15,18
17,3
3,12
13,1
16,17
1,3
3,12
12,14
12,17
8,10
3,13
17,3
17,18
5,3
6,14
16,14
10,16
6,3
4,1
8,1
17,4
4,6
18,6
6,18
4,15
1,4
4,17
17,4
6,12
6,17
18,1
6,18
18,8
14,3
17,14
5,17
18,17
17,4
13,15
10,6
18,12
12,18
11,9
9,12
3,14
10,12
8,2
2,4
3,2
7,2
11,2
1,4
14,18
17,14
10,18
6,3
3,6
6,3
12,1
4,8
6,1
16,9
2,4
16,7
11,6
17,9
13,6
12,16
2,4
2,6
4,14
1,12
17,15
4,6
15,18
13,15
15,18
8,5
18,12
15,3
1,9
9,15
4,15
10,11
13,1
1,16
1,15
16,1
1,14
15,12
2,7
18,6
16,18
10,15
17,18
3,12
3,6
17,3
1,3
1,17
4,2
1,17
6,10
6,15
15,1
8,4
6,3
12,15
15,12
4,2
9,12
12,9
3,12
12,1
1,3
1,12
1,10
16,6
12,3
11,8
3,9
12,8
3,11
8,17
3,17
8,5
5,11
1,7
14,3
10,12
11,14
6,10
16,10
14,12
17,10
16,3
3,9
9,3
9,13
15,13
17,13
12,9
4,18
11,6
2,1
12,9
6,12
4,18
17,1
3,2
4,12
12,6
6,11
6,12
11,17
9,3
9,1
4,15
15,8
2,16
1,6
6,1
11,6
5,15
6,10
10,6
10,5
16,5
16,1
8,16
5,18
5,14
15,16
2,1
2,16
14,1
8,18
14,18
18,4
17,10
16,8
15,14
6,1
15,16
15,18
2,16
18,15
2,8
15,4
4,1
8,16
18,8
16,18
1,18
1,2
1,5
5,2
16,4
16,8
4,16
18,4
15,18
1,18
4,16
10,7
3,13
3,12
13,3
13,17
9,13
6,12
15,3
7,11
15,8
13,3
11,13
17,9
16,15
4,9
10,13
6,10
8,2
10,7
8,4
6,3
4,1
17,15
15,17
13,7
3,18
7,16
10,15
6,14
2,7
3,1
17,13
4,16
2,18
12,16
6,17
13,3
4,8
18,15
18,1
1,18
6,9
14,11
14,1
17,15
4,7
6,17
17,3
15,13
4,6
17,12
4,17
4,3
10,15
17,16
6,13
7,13
17,16
17,18
18,17
17,13
12,14
10,14
12,1
15,3
11,16
1,16
