Round,Period label,Sow earmark,Sow spraymark,Pheromone,Lesion scale ears,Lesion scale front quarter,Lesion scale middle quarter,Lesion scale hind quarter,Lesion scale legs,Lesion score ears,Lesion score front quarter,Lesion score middle quarter,Lesion score hind quarter,Lesion score legs,Lesion score total,Lesion score individual
2,D0-D2,16,1,Pheromone,a,a,a,a,a,0,2,0,1,0,3,0
2,D0-D2,17,2,Pheromone,a,a,a,a,a,0,2,0,0,0,2,0
2,D0-D2,23,3,Pheromone,a,a,a,a,a,2,1,1,1,0,5,0
2,D0-D2,27,4,Pheromone,a,a,a,a,a,2,2,2,1,2,9,0
2,D0-D2,43,5,Pheromone,a,a,a,a,a,1,3,0,0,0,4,0
2,D0-D2,111,6,Pheromone,a,a,a,a,a,1,2,3,1,1,8,0
2,D0-D2,119,7,Pheromone,a,a,b,a,a,1,4,9,3,1,18,1
2,D0-D2,132,8,Pheromone,a,a,a,a,a,0,0,1,4,0,5,0
2,D0-D2,134,9,Pheromone,a,a,a,a,a,0,1,0,1,0,2,0
2,D0-D2,138,10,Pheromone,a,a,a,a,a,2,4,3,0,2,11,0
2,D0-D2,150,11,Pheromone,a,a,a,a,a,4,3,1,0,0,8,0
2,D0-D2,154,12,Pheromone,a,a,a,a,a,1,2,2,3,3,11,0
2,D0-D2,156,13,Pheromone,a,a,a,a,a,2,1,1,0,2,6,0
2,D0-D2,160,14,Pheromone,a,a,a,a,a,2,4,0,0,0,6,0
2,D0-D2,167,15,Pheromone,a,a,a,a,a,1,1,1,3,0,6,0
2,D0-D2,179,16,Pheromone,a,a,a,a,a,0,1,2,0,3,6,0
2,D2-D7,16,1,Pheromone,a,a,a,a,a,0,2,2,1,0,5,0
2,D2-D7,17,2,Pheromone,a,a,a,a,a,2,2,2,0,1,7,0
2,D2-D7,23,3,Pheromone,a,a,a,a,a,0,2,2,1,1,6,0
2,D2-D7,27,4,Pheromone,a,a,a,a,a,1,4,1,1,2,9,0
2,D2-D7,43,5,Pheromone,a,a,a,a,a,1,2,0,1,0,4,0
2,D2-D7,111,6,Pheromone,a,a,a,a,a,0,2,2,1,1,6,0
2,D2-D7,119,7,Pheromone,a,c,a,a,a,2,11,4,1,1,19,1
2,D2-D7,132,8,Pheromone,a,a,a,a,a,2,0,1,4,0,7,0
2,D2-D7,134,9,Pheromone,a,a,a,a,a,1,3,2,0,0,6,0
2,D2-D7,138,10,Pheromone,a,a,a,a,a,2,3,2,1,0,8,0
2,D2-D7,150,11,Pheromone,a,b,a,a,a,2,6,2,0,0,10,1
2,D2-D7,154,12,Pheromone,a,a,a,b,a,2,2,1,9,2,16,1
2,D2-D7,156,13,Pheromone,a,a,b,a,a,1,3,6,1,1,12,1
2,D2-D7,160,14,Pheromone,a,a,a,a,a,2,3,0,1,1,7,0
2,D2-D7,167,15,Pheromone,a,a,a,a,a,0,2,2,1,0,5,0
2,D2-D7,179,16,Pheromone,a,a,b,a,a,0,3,6,1,1,11,1
2,D7-D9,16,1,Pheromone,a,a,a,a,a,0,2,2,2,0,6,0
2,D7-D9,17,2,Pheromone,a,a,a,a,a,0,1,0,0,1,2,0
2,D7-D9,23,3,Pheromone,a,a,a,a,a,1,1,1,2,0,5,0
2,D7-D9,27,4,Pheromone,a,b,a,a,a,0,5,1,1,0,7,1
2,D7-D9,43,5,Pheromone,a,a,a,a,a,0,2,0,0,0,2,0
2,D7-D9,111,6,Pheromone,a,a,a,a,a,0,1,2,2,1,6,0
2,D7-D9,119,7,Pheromone,a,b,b,a,a,1,7,5,2,2,17,1
2,D7-D9,132,8,Pheromone,a,a,a,a,a,0,0,1,3,0,4,0
2,D7-D9,134,9,Pheromone,a,a,a,a,a,1,1,0,1,0,3,0
2,D7-D9,138,10,Pheromone,a,b,b,a,a,1,7,5,1,1,15,1
2,D7-D9,150,11,Pheromone,a,b,a,a,a,1,6,1,0,0,8,1
2,D7-D9,154,12,Pheromone,a,a,a,a,a,1,1,3,2,0,7,0
2,D7-D9,156,13,Pheromone,a,a,a,a,a,2,3,1,2,1,9,0
2,D7-D9,160,14,Pheromone,a,a,a,a,a,1,2,0,0,0,3,0
2,D7-D9,167,15,Pheromone,a,a,a,a,a,0,0,1,0,0,1,0
2,D7-D9,179,16,Pheromone,a,a,b,a,a,0,2,5,0,0,7,1
2,D9-D17,16,1,Pheromone,a,a,a,a,a,0,0,1,1,0,2,0
2,D9-D17,17,2,Pheromone,a,b,a,a,a,0,9,0,0,0,9,1
2,D9-D17,23,3,Pheromone,a,a,a,a,a,1,2,1,0,0,4,0
2,D9-D17,27,4,Pheromone,a,b,a,a,a,0,5,1,0,0,6,1
2,D9-D17,43,5,Pheromone,a,a,a,a,a,0,2,0,1,0,3,0
